shift,size,perturbation,perturbation_strength,n_runs,n_break_2,n_break_3,n_other,dominant_break_level,split_exists,split_collapsed,threshold,transition_low_seed,transition_high_seed,connected_support_holds,selected_min_largest_component_fraction,selected_max_component_count,break_2_mean_delta_persistence_1_to_2,break_3_mean_delta_persistence_1_to_2,break_2_mean_delta_recovery_1_to_2,break_3_mean_delta_recovery_1_to_2,selected_seeds
0.0,128,0,0.0,2,0,2,0,3,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
0.1,128,0,0.0,2,2,0,0,2,0,1,nan,-1,-1,0,nan,-1,nan,nan,nan,nan,
