seed,family,break_level,delta_persistence_1_to_2,distance_to_threshold
35,break_2,2,-0.11766937335958003,0.0020798847232164214
23,break_2,2,-0.12033598783106655,0.0047464991947029495
47,break_2,2,-0.12458430267239322,0.008994814036029614
41,break_3,3,-0.1175659150560725,0.001976426419708896
43,break_3,3,-0.11350960391314718,0.0020798847232164214
21,break_3,3,-0.1066897443927464,0.00889974424361721
